QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3552205 SOROCABA 2020-04-11 16:03:16 EW;3552205;EW;SOROCABA;2020-04-11 16:03:16;OK;1;EastWest
3552205 SOROCABA 2020-04-11 16:03:19 NS;3552205;NS;SOROCABA;2020-04-11 16:03:19;OK;1;NorthSouth
3118601 CONTAGEM 2020-04-11 16:03:21 EW;3118601;EW;CONTAGEM;2020-04-11 16:03:21;OK;1;EastWest
3118601 CONTAGEM 2020-04-11 16:03:23 NS;3118601;NS;CONTAGEM;2020-04-11 16:03:23;OK;1;NorthSouth
2800308 ARACAJU 2020-04-11 16:03:27 EW;2800308;EW;ARACAJU;2020-04-11 16:03:27;OK;1;EastWest
2800308 ARACAJU 2020-04-11 16:03:29 NS;2800308;NS;ARACAJU;2020-04-11 16:03:29;OK;1;NorthSouth
2910800 FEIRA DE SANTANA 2020-04-11 16:03:32 EW;2910800;EW;FEIRA DE SANTANA;2020-04-11 16:03:32;OK;1;EastWest
2910800 FEIRA DE SANTANA 2020-04-11 16:03:35 NS;2910800;NS;FEIRA DE SANTANA;2020-04-11 16:03:35;OK;1;NorthSouth
5103403 CUIABÁ 2020-04-11 16:03:36 EW;5103403;EW;CUIABÁ;2020-04-11 16:03:36;OK;1;EastWest
5103403 CUIABÁ 2020-04-11 16:03:39 NS;5103403;NS;CUIABÁ;2020-04-11 16:03:39;OK;1;NorthSouth
4209102 JOINVILLE 2020-04-11 16:03:42 EW;4209102;EW;JOINVILLE;2020-04-11 16:03:42;OK;1;EastWest
4209102 JOINVILLE 2020-04-11 16:03:45 NS;4209102;NS;JOINVILLE;2020-04-11 16:03:45;OK;1;NorthSouth
5201405 APARECIDA DE GOIÂNIA 2020-04-11 16:03:47 EW;5201405;EW;APARECIDA DE GOIÂNIA;2020-04-11 16:03:47;OK;1;EastWest
5201405 APARECIDA DE GOIÂNIA 2020-04-11 16:03:49 NS;5201405;NS;APARECIDA DE GOIÂNIA;2020-04-11 16:03:49;OK;1;NorthSouth
3136702 JUIZ DE FORA 2020-04-11 16:03:53 EW;3136702;EW;JUIZ DE FORA;2020-04-11 16:03:53;OK;1;EastWest
3136702 JUIZ DE FORA 2020-04-11 16:03:55 NS;3136702;NS;JUIZ DE FORA;2020-04-11 16:03:55;OK;1;NorthSouth
4113700 LONDRINA 2020-04-11 16:03:57 EW;4113700;EW;LONDRINA;2020-04-11 16:03:57;OK;1;EastWest
4113700 LONDRINA 2020-04-11 16:04:00 NS;4113700;NS;LONDRINA;2020-04-11 16:04:00;OK;1;NorthSouth
1500800 ANANINDEUA 2020-04-11 16:04:02 EW;1500800;EW;ANANINDEUA;2020-04-11 16:04:02;OK;1;EastWest
1500800 ANANINDEUA 2020-04-11 16:04:04 NS;1500800;NS;ANANINDEUA;2020-04-11 16:04:04;OK;1;NorthSouth
1100205 PORTO VELHO 2020-04-11 16:04:06 EW;1100205;EW;PORTO VELHO;2020-04-11 16:04:06;OK;1;EastWest
1100205 PORTO VELHO 2020-04-11 16:04:08 NS;1100205;NS;PORTO VELHO;2020-04-11 16:04:08;OK;1;NorthSouth
3303302 NITERÓI 2020-04-11 16:04:12 EW;3303302;EW;NITERÓI;2020-04-11 16:04:12;OK;1;EastWest
3303302 NITERÓI 2020-04-11 16:04:13 NS;3303302;NS;NITERÓI;2020-04-11 16:04:13;OK;1;NorthSouth
3300456 BELFORD ROXO 2020-04-11 16:04:17 EW;3300456;EW;BELFORD ROXO;2020-04-11 16:04:17;OK;1;EastWest
3300456 BELFORD ROXO 2020-04-11 16:04:21 NS;3300456;NS;BELFORD ROXO;2020-04-11 16:04:21;OK;1;NorthSouth
3205002 SERRA 2020-04-11 16:04:24 EW;3205002;EW;SERRA;2020-04-11 16:04:24;OK;1;EastWest
3205002 SERRA 2020-04-11 16:04:27 NS;3205002;NS;SERRA;2020-04-11 16:04:27;OK;1;NorthSouth
4305108 CAXIAS DO SUL 2020-04-11 16:04:31 EW;4305108;EW;CAXIAS DO SUL;2020-04-11 16:04:31;OK;1;EastWest
